"electiondate","party","auftraggeber","date","poll_share","vote_share","vote_share_l1","electiondate_l1","electiondate_lead1"
NA,"fdp","insa",2024-09-02,4.5,NA,NA,NA,NA
NA,"cdu","insa",2024-09-02,31.5,NA,NA,NA,NA
NA,"bsw","insa",2024-09-02,9.5,NA,NA,NA,NA
NA,"afd","insa",2024-09-02,19,NA,NA,NA,NA
NA,"spd","insa",2024-08-31,16,NA,NA,NA,NA
NA,"oth","insa",2024-08-31,7,NA,NA,NA,NA
NA,"lin","insa",2024-08-31,3,NA,NA,NA,NA
NA,"gru","insa",2024-08-31,11,NA,NA,NA,NA
NA,"fdp","insa",2024-08-31,4,NA,NA,NA,NA
NA,"cdu","insa",2024-08-31,31,NA,NA,NA,NA
NA,"bsw","insa",2024-08-31,9,NA,NA,NA,NA
NA,"afd","insa",2024-08-31,19,NA,NA,NA,NA
NA,"spd","forsa",2024-08-27,15,NA,NA,NA,NA
NA,"oth","forsa",2024-08-27,11,NA,NA,NA,NA
NA,"lin","forsa",2024-08-27,3,NA,NA,NA,NA
NA,"gru","forsa",2024-08-27,11,NA,NA,NA,NA
NA,"fdp","forsa",2024-08-27,5,NA,NA,NA,NA
NA,"cdu","forsa",2024-08-27,31,NA,NA,NA,NA
NA,"bsw","forsa",2024-08-27,7,NA,NA,NA,NA
NA,"afd","forsa",2024-08-27,17,NA,NA,NA,NA
NA,"spd","insa",2024-08-26,15,NA,NA,NA,NA
NA,"oth","insa",2024-08-26,6,NA,NA,NA,NA
NA,"lin","insa",2024-08-26,3,NA,NA,NA,NA
NA,"gru","insa",2024-08-26,11.5,NA,NA,NA,NA
NA,"fdp","insa",2024-08-26,5.5,NA,NA,NA,NA
NA,"cdu","insa",2024-08-26,31.5,NA,NA,NA,NA
NA,"bsw","insa",2024-08-26,9,NA,NA,NA,NA
NA,"afd","insa",2024-08-26,18.5,NA,NA,NA,NA
NA,"spd","insa",2024-08-24,16,NA,NA,NA,NA
NA,"oth","insa",2024-08-24,7,NA,NA,NA,NA
NA,"lin","insa",2024-08-24,3,NA,NA,NA,NA
NA,"gru","insa",2024-08-24,11,NA,NA,NA,NA
NA,"fdp","insa",2024-08-24,5,NA,NA,NA,NA
NA,"cdu","insa",2024-08-24,31,NA,NA,NA,NA
NA,"bsw","insa",2024-08-24,9,NA,NA,NA,NA
NA,"afd","insa",2024-08-24,18,NA,NA,NA,NA
NA,"spd","allensbach",2024-08-22,16,NA,NA,NA,NA
NA,"oth","allensbach",2024-08-22,7.5,NA,NA,NA,NA
NA,"lin","allensbach",2024-08-22,3,NA,NA,NA,NA
NA,"gru","allensbach",2024-08-22,11.5,NA,NA,NA,NA
NA,"fdp","allensbach",2024-08-22,5,NA,NA,NA,NA
NA,"cdu","allensbach",2024-08-22,34,NA,NA,NA,NA
NA,"bsw","allensbach",2024-08-22,7,NA,NA,NA,NA
NA,"afd","allensbach",2024-08-22,16,NA,NA,NA,NA
NA,"spd","forsa",2024-08-20,15,NA,NA,NA,NA
NA,"spd","insa",2024-08-20,15.5,NA,NA,NA,NA
NA,"oth","insa",2024-08-20,7,NA,NA,NA,NA
NA,"oth","forsa",2024-08-20,11,NA,NA,NA,NA
NA,"lin","forsa",2024-08-20,3,NA,NA,NA,NA
NA,"lin","insa",2024-08-20,3,NA,NA,NA,NA
NA,"gru","forsa",2024-08-20,11,NA,NA,NA,NA
NA,"gru","insa",2024-08-20,10.5,NA,NA,NA,NA
NA,"fdp","forsa",2024-08-20,5,NA,NA,NA,NA
NA,"fdp","insa",2024-08-20,5,NA,NA,NA,NA
NA,"cdu","forsa",2024-08-20,31,NA,NA,NA,NA
NA,"cdu","insa",2024-08-20,30.5,NA,NA,NA,NA
NA,"bsw","forsa",2024-08-20,7,NA,NA,NA,NA
NA,"bsw","insa",2024-08-20,9.5,NA,NA,NA,NA
NA,"afd","forsa",2024-08-20,17,NA,NA,NA,NA
NA,"afd","insa",2024-08-20,19,NA,NA,NA,NA
NA,"spd","insa",2024-08-17,16,NA,NA,NA,NA
NA,"oth","insa",2024-08-17,7,NA,NA,NA,NA
NA,"lin","insa",2024-08-17,3,NA,NA,NA,NA
NA,"gru","insa",2024-08-17,11,NA,NA,NA,NA
NA,"fdp","insa",2024-08-17,5,NA,NA,NA,NA
NA,"cdu","insa",2024-08-17,30,NA,NA,NA,NA
NA,"bsw","insa",2024-08-17,9,NA,NA,NA,NA
NA,"afd","insa",2024-08-17,19,NA,NA,NA,NA
NA,"spd","fgw",2024-08-15,14,NA,NA,NA,NA
NA,"oth","fgw",2024-08-15,10,NA,NA,NA,NA
NA,"lin","fgw",2024-08-15,3,NA,NA,NA,NA
