"electiondate","party","auftraggeber","date","poll_share","vote_share","vote_share_l1","electiondate_l1","electiondate_lead1"
2002-09-22,"fw","Allensbach",1999-11-17,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Allensbach",1999-11-17,6.9,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Allensbach",1999-11-17,44.7,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Allensbach",1999-11-17,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Allensbach",1999-11-17,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Infratest Dimap",1999-11-13,30,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Infratest Dimap",1999-11-13,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Infratest Dimap",1999-11-13,6,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Infratest Dimap",1999-11-13,6,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Infratest Dimap",1999-11-13,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Infratest Dimap",1999-11-13,5,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Infratest Dimap",1999-11-13,49,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Infratest Dimap",1999-11-13,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Infratest Dimap",1999-11-13,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Politbarometer",1999-11-12,33,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"spd","Verian (Kantar Public. Emnid)",1999-11-12,32,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Politbarometer",1999-11-12,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"pir","Verian (Kantar Public. Emnid)",1999-11-12,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Politbarometer",1999-11-12,6,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"lin","Verian (Kantar Public. Emnid)",1999-11-12,7,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Politbarometer",1999-11-12,5,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"gru","Verian (Kantar Public. Emnid)",1999-11-12,6,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Verian (Kantar Public. Emnid)",1999-11-12,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fw","Politbarometer",1999-11-12,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Politbarometer",1999-11-12,4,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Verian (Kantar Public. Emnid)",1999-11-12,4,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Politbarometer",1999-11-12,48,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Verian (Kantar Public. Emnid)",1999-11-12,45,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Verian (Kantar Public. Emnid)",1999-11-12,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Politbarometer",1999-11-12,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Verian (Kantar Public. Emnid)",1999-11-12,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Politbarometer",1999-11-12,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Forsa",1999-11-11,32,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Forsa",1999-11-11,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Forsa",1999-11-11,7,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Forsa",1999-11-11,5,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Forsa",1999-11-11,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Forsa",1999-11-11,5,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Forsa",1999-11-11,45,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Forsa",1999-11-11,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Forsa",1999-11-11,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Infratest Dimap",1999-11-06,30,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Infratest Dimap",1999-11-06,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Infratest Dimap",1999-11-06,6,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Infratest Dimap",1999-11-06,6,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Infratest Dimap",1999-11-06,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Infratest Dimap",1999-11-06,5,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Infratest Dimap",1999-11-06,49,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Infratest Dimap",1999-11-06,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Infratest Dimap",1999-11-06,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Verian (Kantar Public. Emnid)",1999-11-05,33,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Verian (Kantar Public. Emnid)",1999-11-05,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Verian (Kantar Public. Emnid)",1999-11-05,7,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Verian (Kantar Public. Emnid)",1999-11-05,5,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Verian (Kantar Public. Emnid)",1999-11-05,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Verian (Kantar Public. Emnid)",1999-11-05,4,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Verian (Kantar Public. Emnid)",1999-11-05,45,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Verian (Kantar Public. Emnid)",1999-11-05,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Verian (Kantar Public. Emnid)",1999-11-05,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Forsa",1999-11-04,31,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Forsa",1999-11-04,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Forsa",1999-11-04,7,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Forsa",1999-11-04,5,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Forsa",1999-11-04,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Forsa",1999-11-04,4,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Forsa",1999-11-04,47,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Forsa",1999-11-04,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Forsa",1999-11-04,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Infratest Dimap",1999-10-30,30,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Infratest Dimap",1999-10-30,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Infratest Dimap",1999-10-30,8,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Infratest Dimap",1999-10-30,5,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Infratest Dimap",1999-10-30,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Infratest Dimap",1999-10-30,5,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Infratest Dimap",1999-10-30,49,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Infratest Dimap",1999-10-30,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Infratest Dimap",1999-10-30,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Verian (Kantar Public. Emnid)",1999-10-29,33,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Verian (Kantar Public. Emnid)",1999-10-29,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Verian (Kantar Public. Emnid)",1999-10-29,7,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Verian (Kantar Public. Emnid)",1999-10-29,5,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Verian (Kantar Public. Emnid)",1999-10-29,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Verian (Kantar Public. Emnid)",1999-10-29,4,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Verian (Kantar Public. Emnid)",1999-10-29,45,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Verian (Kantar Public. Emnid)",1999-10-29,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Verian (Kantar Public. Emnid)",1999-10-29,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Forsa",1999-10-28,34,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Forsa",1999-10-28,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Forsa",1999-10-28,8,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Forsa",1999-10-28,5,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Forsa",1999-10-28,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Forsa",1999-10-28,4,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Forsa",1999-10-28,44,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Forsa",1999-10-28,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Forsa",1999-10-28,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Infratest Dimap",1999-10-23,30,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Infratest Dimap",1999-10-23,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Infratest Dimap",1999-10-23,8,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Infratest Dimap",1999-10-23,6,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Infratest Dimap",1999-10-23,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Infratest Dimap",1999-10-23,5,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Infratest Dimap",1999-10-23,48,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Infratest Dimap",1999-10-23,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Infratest Dimap",1999-10-23,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Verian (Kantar Public. Emnid)",1999-10-22,33,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Verian (Kantar Public. Emnid)",1999-10-22,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Verian (Kantar Public. Emnid)",1999-10-22,7,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Verian (Kantar Public. Emnid)",1999-10-22,6,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Verian (Kantar Public. Emnid)",1999-10-22,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Verian (Kantar Public. Emnid)",1999-10-22,4,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Verian (Kantar Public. Emnid)",1999-10-22,47,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Verian (Kantar Public. Emnid)",1999-10-22,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Verian (Kantar Public. Emnid)",1999-10-22,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Forsa",1999-10-21,33,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Forsa",1999-10-21,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Forsa",1999-10-21,8,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Forsa",1999-10-21,5,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Forsa",1999-10-21,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Forsa",1999-10-21,4,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Forsa",1999-10-21,44,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Forsa",1999-10-21,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Forsa",1999-10-21,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Infratest Dimap",1999-10-16,31,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Infratest Dimap",1999-10-16,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Infratest Dimap",1999-10-16,7,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Infratest Dimap",1999-10-16,6,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Infratest Dimap",1999-10-16,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Infratest Dimap",1999-10-16,5,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Infratest Dimap",1999-10-16,48,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Infratest Dimap",1999-10-16,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Infratest Dimap",1999-10-16,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Politbarometer",1999-10-15,33,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"spd","Verian (Kantar Public. Emnid)",1999-10-15,32,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Politbarometer",1999-10-15,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"pir","Verian (Kantar Public. Emnid)",1999-10-15,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Politbarometer",1999-10-15,6,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"lin","Verian (Kantar Public. Emnid)",1999-10-15,6,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Politbarometer",1999-10-15,6,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"gru","Verian (Kantar Public. Emnid)",1999-10-15,5,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Politbarometer",1999-10-15,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fw","Verian (Kantar Public. Emnid)",1999-10-15,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Politbarometer",1999-10-15,4,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Verian (Kantar Public. Emnid)",1999-10-15,5,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Politbarometer",1999-10-15,47,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Verian (Kantar Public. Emnid)",1999-10-15,46,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Verian (Kantar Public. Emnid)",1999-10-15,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Politbarometer",1999-10-15,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Verian (Kantar Public. Emnid)",1999-10-15,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Politbarometer",1999-10-15,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Forsa",1999-10-14,33,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Forsa",1999-10-14,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Forsa",1999-10-14,8,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Forsa",1999-10-14,6,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Forsa",1999-10-14,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Forsa",1999-10-14,4,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Forsa",1999-10-14,43,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Forsa",1999-10-14,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Forsa",1999-10-14,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Allensbach",1999-10-13,30.8,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Allensbach",1999-10-13,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Allensbach",1999-10-13,7.2,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Allensbach",1999-10-13,6.8,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Allensbach",1999-10-13,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Allensbach",1999-10-13,5.9,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Allensbach",1999-10-13,44.5,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Allensbach",1999-10-13,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Allensbach",1999-10-13,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Infratest Dimap",1999-10-09,31,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Infratest Dimap",1999-10-09,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Infratest Dimap",1999-10-09,7,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Infratest Dimap",1999-10-09,6,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Infratest Dimap",1999-10-09,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Infratest Dimap",1999-10-09,5,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Infratest Dimap",1999-10-09,48,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Infratest Dimap",1999-10-09,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Infratest Dimap",1999-10-09,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Verian (Kantar Public. Emnid)",1999-10-08,35,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Verian (Kantar Public. Emnid)",1999-10-08,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Verian (Kantar Public. Emnid)",1999-10-08,6,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Verian (Kantar Public. Emnid)",1999-10-08,6,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Verian (Kantar Public. Emnid)",1999-10-08,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Verian (Kantar Public. Emnid)",1999-10-08,4,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Verian (Kantar Public. Emnid)",1999-10-08,44,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Verian (Kantar Public. Emnid)",1999-10-08,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Verian (Kantar Public. Emnid)",1999-10-08,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Forsa",1999-10-07,34,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Forsa",1999-10-07,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Forsa",1999-10-07,7,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Forsa",1999-10-07,6,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Forsa",1999-10-07,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Forsa",1999-10-07,4,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Forsa",1999-10-07,43,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Forsa",1999-10-07,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Forsa",1999-10-07,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Infratest Dimap",1999-10-02,31,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Infratest Dimap",1999-10-02,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Infratest Dimap",1999-10-02,7,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Infratest Dimap",1999-10-02,6,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Infratest Dimap",1999-10-02,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Infratest Dimap",1999-10-02,4,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Infratest Dimap",1999-10-02,48,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Infratest Dimap",1999-10-02,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Infratest Dimap",1999-10-02,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Verian (Kantar Public. Emnid)",1999-10-01,34,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Verian (Kantar Public. Emnid)",1999-10-01,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Verian (Kantar Public. Emnid)",1999-10-01,7,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Verian (Kantar Public. Emnid)",1999-10-01,5,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Verian (Kantar Public. Emnid)",1999-10-01,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Verian (Kantar Public. Emnid)",1999-10-01,5,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Verian (Kantar Public. Emnid)",1999-10-01,44,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Verian (Kantar Public. Emnid)",1999-10-01,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Verian (Kantar Public. Emnid)",1999-10-01,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Forsa",1999-09-30,33,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Forsa",1999-09-30,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Forsa",1999-09-30,6,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Forsa",1999-09-30,6,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Forsa",1999-09-30,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Forsa",1999-09-30,5,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Forsa",1999-09-30,45,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Forsa",1999-09-30,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Forsa",1999-09-30,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Infratest Dimap",1999-09-25,31,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Infratest Dimap",1999-09-25,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Infratest Dimap",1999-09-25,7,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Infratest Dimap",1999-09-25,6,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Infratest Dimap",1999-09-25,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Infratest Dimap",1999-09-25,5,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Infratest Dimap",1999-09-25,48,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Infratest Dimap",1999-09-25,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Infratest Dimap",1999-09-25,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Politbarometer",1999-09-24,34,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"spd","Verian (Kantar Public. Emnid)",1999-09-24,33,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Politbarometer",1999-09-24,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"pir","Verian (Kantar Public. Emnid)",1999-09-24,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Politbarometer",1999-09-24,5,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"lin","Verian (Kantar Public. Emnid)",1999-09-24,6,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Politbarometer",1999-09-24,5,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"gru","Verian (Kantar Public. Emnid)",1999-09-24,5,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Verian (Kantar Public. Emnid)",1999-09-24,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fw","Politbarometer",1999-09-24,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Verian (Kantar Public. Emnid)",1999-09-24,5,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Politbarometer",1999-09-24,5,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Politbarometer",1999-09-24,47,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Verian (Kantar Public. Emnid)",1999-09-24,45,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Verian (Kantar Public. Emnid)",1999-09-24,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Politbarometer",1999-09-24,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Verian (Kantar Public. Emnid)",1999-09-24,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Politbarometer",1999-09-24,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Forsa",1999-09-23,32,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Forsa",1999-09-23,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Forsa",1999-09-23,6,4,5.1,"1998-09-27","2005-09-18"
2002-09-22,"gru","Forsa",1999-09-23,6,8.6,6.7,"1998-09-27","2005-09-18"
2002-09-22,"fw","Forsa",1999-09-23,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"fdp","Forsa",1999-09-23,5,7.4,6.2,"1998-09-27","2005-09-18"
2002-09-22,"cdu","Forsa",1999-09-23,46,38.5,35.1,"1998-09-27","2005-09-18"
2002-09-22,"bsw","Forsa",1999-09-23,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"afd","Forsa",1999-09-23,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"spd","Infratest Dimap",1999-09-18,32,38.5,40.9,"1998-09-27","2005-09-18"
2002-09-22,"pir","Infratest Dimap",1999-09-18,NA,NA,NA,"1998-09-27","2005-09-18"
2002-09-22,"lin","Infratest Dimap",1999-09-18,6,4,5.1,"1998-09-27","2005-09-18"
